arxiv_id,title,abstract,your_rating,why_you_care
2401.0007,"MMED-RAG: VERSATILE MULTIMODAL RAG SYS-
TEM FOR MEDICAL VISION LANGUAGE MODELS","Artificial Intelligence (AI) has demonstrated significant potential in healthcare,

particularly in disease diagnosis and treatment planning. Recent progress in Med-
ical Large Vision-Language Models (Med-LVLMs) has opened up new possibil-
ities for interactive diagnostic tools. However, these models often suffer from

factual hallucination, which can lead to incorrect diagnoses. Fine-tuning and
retrieval-augmented generation (RAG) have emerged as methods to address these
issues. However, the amount of high-quality data and distribution shifts between

training data and deployment data limit the application of fine-tuning methods. Al-
though RAG is lightweight and effective, existing RAG-based approaches are not

sufficiently general to different medical domains and can potentially cause mis-
alignment issues, both between modalities and between the model and the ground

truth. In this paper, we propose a versatile multimodal RAG system, MMed-RAG,
designed to enhance the factuality of Med-LVLMs. Our approach introduces a
domain-aware retrieval mechanism, an adaptive retrieved contexts selection, and
a provable RAG-based preference fine-tuning strategy. These innovations make

the RAG process sufficiently general and reliable, significantly improving align-
ment when introducing retrieved contexts. Experimental results across five med-
ical datasets (involving radiology, ophthalmology, pathology) on medical VQA

and report generation demonstrate that MMed-RAG can achieve an average im-
provement of 43.8% in the factual accuracy of Med-LVLMs. Our data and code

are available in https://github.com/richard-peng-xia/MMed-RAG.",5,VLM + Healthcare + RAG
2401.0008,"Unsupervised Contrastive Refinement with
Graph-Aware Multimodal Interaction for

Radiology Report Generation","Abstract� Automatic Radiology Report Generation
(RRG) reduces medical workload by automatically
generating diagnostic reports from X-ray images. In recent
studies, an improved performance has been observed
by first classifying the image and then incorporating

clinical outcomes into the RRG pipeline, with cross-
modal interactions between image and text. However,

these studies have limitations (specifically on chest
X-ray), including : (1) inconsistent cross-modal learning
due to under-utilization of textual information, and
(2) reliance on noisy classification labels, resulting in
inaccurate attention and invariant report generation. To
address these issues, a Medical Context-aware RRG
Framework (MedCARF) is proposed, which introduces
a Disease-Aware Visual Textual Alignment (D-ViTAlign)
module to capture organ�abnormality relationships from
scene graphs and visual features. Label refinement
is achieved using an unsupervised Augmentation
Distillation with Contrastive Refinement (AuDiCoR)
loss, which iteratively refines the visual features via
augmentation alignment and loss modelling. In addition,
the knee OAI dataset is benchmarked for the RRG
task, and the performance of MedCARF contributions
is explicitly tested on this dataset. Furthermore,
Knee RRG performance is evaluated using multimodal
information, including biomechanical data. Experimental
results showed that a minimum 3.2% improvement in
METEOR and a 4.22% AUC gain over classification SOTA
are achieved for chest X-ray, while a 9.69% average
improvement across all NLG metrics is observed for
knee RRG with biomechanical data integration. Overall,
contextually accurate reports are generated and consistent
classification performance is achieved, including for
minority classes, demonstrating the robustness and
clinical applicability of the proposed framework. The Code
will be available at: https://github.com/adaydar/MedCARF.

Index Terms� cross-modal interactions, label refine-
ment, contrastive loss, multimodal, biomechanical data.",5,Radiology Report Generation  + VLM +  Knee Osteoarthritis+ Graph knoweldge
2401.0009,R2GenKG: Hierarchical Multi-modal Knowledge Graph for LLM-based Radiology Report Generation,"X-ray medical report generation is one of the important ap
plications of artificial intelligence in healthcare. With the
support of large foundation models, the quality of medi
cal report generation has significantly improved. However,
challenges such as hallucination and weak disease diag
nostic capability still persist. In this paper, we first con
struct a large-scale multi-modal medical knowledge graph
(termed M3KG) based on the ground truth medical report
using the GPT-4o. It contains 2477 entities, 3 kinds of rela
tions, 37424 triples, and 6943 disease-aware vision tokens
for the CheXpert Plus dataset. Then, we sample it to ob
tain multi-granularity semantic graphs and use an R-GCN
encoder for feature extraction. For the input X-ray image,
we adopt the Swin-Transformer to extract the vision fea
tures and interact with the knowledge using cross-attention.
The vision tokens are fed into a Q-former and retrieved the
disease-aware vision tokens using another cross-attention.
Finally, we adopt the large language model to map the se
mantic knowledge graph, input X-ray image, and disease
aware vision tokens into language descriptions. Extensive
experiments on multiple datasets fully validated the effec
tiveness of our proposed knowledge graph and X-ray re
port generation framework. The source code of this paper
will be released on https://github.com/Event
AHU/Medical_Image_Analysis",5,VLM + Knowledge Graph for LLM-based Radiology Report Generation
2401.001,"Automated Structured Radiology Report Generation
","Automated radiology report generation from
chest X-ray (CXR) images has the potential
to improve clinical efficiency and reduce radi
ologists� workload. However, most datasets,
including the publicly available MIMIC-CXR
and CheXpert Plus, consist entirely of free
form reports, which are inherently variable and
unstructured. This variability poses challenges
for both generation and evaluation: existing
models struggle to produce consistent, clini
cally meaningful reports, and standard evalua
tion metrics fail to capture the nuances of radio
logical interpretation. To address this, we intro
duce Structured Radiology Report Generation
(SRRG), a new task that reformulates free-text
radiology reports into a standardized format,
ensuring clarity, consistency, and structured
clinical reporting. We create a novel dataset
by restructuring reports using large language
models (LLMs) following strict structured re
porting desiderata. Additionally, we introduce
SRR-BERT, a fine-grained disease classifica
tion model trained on 55 labels, enabling more
precise and clinically informed evaluation of
structured reports. To assess report quality, we
propose F1-SRR-BERT, a metric that leverages
SRR-BERT�s hierarchical disease taxonomy to
bridge the gap between free-text variability and
structured clinical reporting. We validate our
dataset through a reader study conducted by
five board-certified radiologists and extensive
benchmarking experiments.",3,"Structured Radiology Report Generation
(SRRG)"
2401.002,"RETHINKING RADIOLOGY REPORT GENERATION:
FROM NARRATIVE FLOW TO TOPIC-GUIDED FIND
INGS","Vision-Language Models (VLMs) for radiology report generation are typically
trained to mimic the narrative flow of human experts. However, we identify a po
tential limitation in this conventional paradigm. We hypothesize that optimizing
for narrative coherence encourages models to rely on linguistic priors and inter
sentence correlations, which can weaken their grounding in direct visual evidence
and lead to factual inaccuracies. To investigate this, we design a controlled ex
periment demonstrating that as textual context increases, a model�s reliance on
the input image systematically decays. We propose LLaVA-TA (Topic-guided
and Anatomy-aware), a new fine-tuning framework that directly addresses this
challenge by re-engineering the generation process. Instead of producing a linear
narrative, LLaVA-TA decomposes the report into a set of independent, clinically
relevant topics. By training the model to generate a discrete finding for each topic
conditioned on both the full image and its corresponding anatomical region, we re
duce the model�s reliance on narrative flow and enforce stricter visual grounding.
Our experiments show that LLaVA-TA sets a new state of the art on the MIMIC
CXRdataset, significantly improving clinical accuracy on metrics like RadGraph
F1 (from 29.4 to 44.0) and CheXpert F1-14 (from 39.5 to 71.5) over strong base
lines. Our work demonstrates that dismantling a report�s narrative structure to en
force independent, visually-grounded observations is a crucial and effective step
toward building more accurate and reliable medical VLMs.",4.5, RADIOLOGY REPORT GENERATION (RRG) +  Visual grounding
2606.13675v1,Improving Robotic Generalist Policies via Flow Reversal Steering,"Generalist policies can learn a wide range of skills from diverse robot datasets. In order to solve or improve on challenging news tasks, we need a way to infer and invoke the appropriate actions from the policy's rich behavioral prior, especially when directly commanding the policy fails. We focus ",3,"This paper is not directly related to the user's interests in X-ray interpretation, Structured Radiology Report Generation, or Document understanding + multimodal."
2606.13460v1,VISA: VLM-Guided Instance Semantic Auditing for 3D Occupancy World Models,"Semantic 3D occupancy provides a voxelized world state for autonomous driving and robot decision making, but object and rare-class errors can affect free-space interpretation, collision checking, and temporal state propagation. We show that a common VLM strategy, aligning 3D voxel or object features",1,"The paper is somewhat relevant to multimodal and document understanding, but its focus on 3D occupancy world models and autonomous driving is less relevant to the user's interests in radiology and hea"
2606.13572v1,ArogyaSutra: A Multi-Agent Framework for Multimodal Medical Reasoning in Indic Languages,"Multimodal Large Language Models (MLLMs) have shown promising reasoning capabilities in general domains, yet their performance remains limited in specialized settings such as healthcare, especially in multilingual and low-resource scenarios. This gap is critical in regions like rural India, where pa",4,"The paper ArogyaSutra is relevant to the user's interests in multimodal medical reasoning, agents, and healthcare."
2606.13220v1,LLM-as-an-Investigator: Evidence-First Reasoning for Robust Interactive Problem Diagnosis,"Large language models (LLMs) are increasingly used as interactive assistants for technical problem solving. However, when users provide incomplete descriptions or plausible but unverified explanations, LLMs may prematurely align with these assumptions and propose solutions before collecting sufficie",5,"#evidence-first, #agentic, #AI, #methodology, #robust, #problem, #diagnosis"
2606.13262v1,From Verdict to Process: Agentic Reinforcement Learning for Multi-Stage Fact Verification,"Recent approaches combining Large Language Models (LLMs) with retrieval-augmented reasoning have shown promise for automated fact verification. To process complex claims, these verification pipelines typically execute multi-stage workflows that coordinate tightly coupled modules, including claim dec",2,
2606.20477v1,Scalable Training of Spatially Grounded 2D Vision-Language Models for Radiology,"We study how to train visually grounded vision-language models (VLMs) for radiology without manual spatial annotations. We introduce RefRad2D, a large-scale bilingual (German/English) dataset of 1.2M CT and MR image-text pairs derived from clinical practice, with task-specific VQA and spatial ground",4,"#VLM, #healthcare, #radiology, #instruction following, #spatial grounding"
2606.20246v1,Finetuning Vision-Language-Action Models Requires Fewer Layers Than You Think,"Vision-Language-Action (VLA) models pre-trained on massive video-robot datasets have revolutionized robotic manipulation, yet their multi-billion parameter architectures impose prohibitive computational burdens during downstream fine-tuning and real-time inference. In this work, we reveal a highly n",4,"#Vision-Language-Action, #model compression, #layer-wise representational redundancy"
